Date,Open,High,Low,Close
May-20,0.09%,0.15%,0.09%,0.12%
Apr-20,0.10%,0.30%,0.02%,0.11%
Mar-20,1.30%,1.30%,0.08%,0.13%
Feb-20,1.55%,1.60%,1.27%,1.30%
Jan-20,1.55%,1.58%,1.50%,1.55%
Dec-19,1.59%,1.60%,1.50%,1.55%
Nov-19,1.54%,1.64%,1.51%,1.59%
Oct-19,1.83%,1.86%,1.53%,1.54%
Sep-19,1.99%,2.03%,1.78%,1.83%
Aug-19,2.07%,2.10%,1.86%,1.99%
Jul-19,2.13%,2.26%,2.03%,2.07%
Jun-19,2.35%,2.38%,2.10%,2.13%
May-19,2.39%,2.39%,2.34%,2.35%
Apr-19,2.40%,2.46%,2.36%,2.43%
Mar-19,2.44%,2.49%,2.39%,2.40%
Feb-19,2.39%,2.47%,2.37%,2.44%
Jan-19,2.46%,2.47%,2.36%,2.40%
Dec-18,2.36%,2.47%,2.34%,2.45%
Nov-18,2.33%,2.43%,2.31%,2.36%
Oct-18,2.20%,2.36%,2.19%,2.35%
Sep-18,2.10%,2.23%,2.09%,2.20%
Aug-18,2.03%,2.15%,2.00%,2.10%
Jul-18,1.93%,2.06%,1.91%,2.02%
Jun-18,1.91%,1.97%,1.90%,1.92%
May-18,1.93%,1.97%,1.87%,1.91%
Apr-18,1.71%,1.88%,1.70%,1.81%
Mar-18,1.67%,1.81%,1.62%,1.72%
Feb-18,1.47%,1.69%,1.45%,1.67%
Jan-18,1.39%,1.48%,1.39%,1.46%
Dec-17,1.27%,1.48%,1.26%,1.39%
Nov-17,1.13%,1.32%,1.13%,1.27%
Oct-17,1.06%,1.16%,1.03%,1.15%
Sep-17,1.00%,1.09%,0.99%,1.06%
Aug-17,1.07%,1.11%,0.98%,1.00%
Jul-17,1.02%,1.21%,1.01%,1.09%
Jun-17,0.98%,1.04%,0.95%,1.03%
May-17,0.92%,0.99%,0.89%,0.97%
Apr-17,0.76%,0.84%,0.75%,0.81%
Mar-17,0.54%,0.81%,0.54%,0.76%
Feb-17,0.52%,0.62%,0.49%,0.61%
Jan-17,0.51%,0.56%,0.48%,0.52%
Dec-16,0.49%,0.56%,0.43%,0.51%
Nov-16,0.35%,0.54%,0.33%,0.49%
Oct-16,0.28%,0.38%,0.27%,0.35%
Sep-16,0.34%,0.39%,0.15%,0.28%
Aug-16,0.26%,0.35%,0.24%,0.33%
Jul-16,0.27%,0.33%,0.22%,0.27%
Jun-16,0.34%,0.35%,0.23%,0.26%
May-16,0.31%,0.37%,0.28%,0.34%
Apr-16,0.21%,0.27%,0.18%,0.21%
Mar-16,0.32%,0.36%,0.17%,0.21%
Feb-16,0.32%,0.37%,0.27%,0.31%
Jan-16,0.17%,0.34%,0.16%,0.32%
Dec-15,0.21%,0.29%,0.14%,0.17%
Nov-15,0.08%,0.21%,0.03%,0.21%
Oct-15,0.01%,0.09%,0.02%,0.08%
Sep-15,0.03%,0.08%,0.03%,0.00%
Aug-15,0.07%,0.13%,0.01%,0.00%
Jul-15,0.02%,0.08%,0.01%,0.07%
Jun-15,0.01%,0.03%,0.01%,0.02%
May-15,0.02%,0.03%,0.00%,0.01%
