Date,Open,High,Low,Close,Volume
May-20,71.56,80.22,71.46,79.72,"2,28,07,78,740"
Apr-20,61.63,73.63,59.23,73.45,"3,26,46,40,076"
Mar-20,70.57,76,53.15,63.57,"6,28,13,26,736"
Feb-20,76.08,81.81,64.09,68.34,"3,02,08,92,852"
Jan-20,74.06,81.96,73.19,77.38,"2,94,00,51,488"
Dec-19,66.82,73.49,64.07,73.41,"2,39,34,31,820"
Nov-19,62.39,67,62.29,66.81,"1,79,56,89,028"
Oct-19,56.27,62.44,53.78,62.19,"2,49,06,06,800"
Sep-19,51.61,56.61,51.06,55.99,"2,18,96,33,564"
Aug-19,53.48,54.51,48.15,52.19,"2,73,40,62,988"
Jul-19,50.79,55.34,49.6,53.26,"1,89,58,28,576"
Jun-19,43.9,50.39,42.57,49.48,"2,06,08,75,084"
May-19,46.17,46.43,43.75,43.77,"77,87,37,232"
Apr-19,47.91,52.12,47.1,50.17,"2,02,44,71,368"
Mar-19,43.57,49.42,42.38,47.49,"2,60,39,25,456"
Feb-19,41.74,43.97,41.48,43.29,"1,89,01,62,940"
Jan-19,38.72,42.25,35.5,41.61,"3,31,23,96,744"
Dec-18,46.12,46.24,36.65,39.44,"3,59,56,68,072"
Nov-18,54.76,55.59,42.57,44.65,"3,84,52,87,836"
Oct-18,56.99,58.37,51.52,54.72,"3,15,89,92,288"
Sep-18,57.1,57.42,53.83,56.44,"2,71,58,88,128"
Aug-18,49.78,57.22,49.33,56.91,"2,80,12,75,428"
Jul-18,45.96,48.99,45.86,47.57,"1,57,53,75,532"
Jun-18,47,48.55,45.18,46.28,"2,11,04,97,524"
May-18,47.09,47.41,46.44,46.72,"57,87,25,924"
Apr-18,41.97,44.73,40.16,41.32,"2,66,54,40,652"
Mar-18,44.64,45.88,41.24,41.95,"2,85,49,09,520"
Feb-18,41.79,45.15,37.56,44.53,"3,71,15,77,912"
Jan-18,42.54,45.03,41.18,41.86,"2,63,87,17,860"
Dec-17,42.49,44.3,41.62,42.31,"2,12,47,36,280"
Nov-17,42.47,44.06,41.32,42.96,"2,40,26,53,532"
Oct-17,38.57,42.41,38.12,42.26,"2,01,71,64,480"
Sep-17,41.2,41.24,37.29,38.53,"2,72,17,68,436"
Aug-17,37.28,41.13,37.1,41,"2,64,42,75,704"
Jul-17,36.22,38.5,35.6,37.18,"1,68,80,47,376"
Jun-17,38.29,39,35.55,36.01,"2,73,67,12,144"
May-17,38.5,38.73,38.1,38.19,"59,13,82,836"
Apr-17,35.93,36.37,35.02,35.91,"1,49,32,16,328"
Mar-17,34.47,36.13,34.26,35.92,"2,24,83,64,916"
Feb-17,31.76,34.37,31.75,34.25,"2,29,98,74,064"
Jan-17,28.95,30.61,28.69,30.34,"2,25,33,24,656"
Dec-16,27.59,29.5,27.06,28.96,"2,43,50,86,616"
Nov-16,28.37,28.44,26.02,27.63,"2,88,62,19,384"
Oct-16,28.18,29.67,28.07,28.39,"2,74,76,56,944"
Sep-16,26.54,29.05,25.63,28.26,"3,88,03,87,016"
Aug-16,26.1,27.56,26,26.53,"2,52,05,14,308"
Jul-16,23.87,26.14,23.59,26.05,"2,74,31,18,460"
Jun-16,24.76,25.47,22.88,23.9,"3,12,25,20,956"
May-16,23.97,25.18,23.92,24.97,"98,71,22,108"
Apr-16,27.2,28.1,23.13,23.44,"3,48,95,34,336"
Mar-16,24.41,27.61,24.36,27.25,"2,98,45,45,904"
Feb-16,24.12,24.72,23.15,24.17,"3,24,34,50,204"
Jan-16,25.65,26.46,23.1,24.34,"5,08,73,92,568"
Dec-15,29.69,29.97,26.21,26.32,"3,69,05,05,124"
Nov-15,29.97,30.96,27.75,29.58,"3,00,25,62,312"
Oct-15,27.27,30.31,26.83,29.88,"4,45,48,15,224"
Sep-15,27.54,29.22,26.84,27.58,"4,82,61,89,360"
Aug-15,30.38,30.64,23,28.19,"6,42,91,49,192"
Jul-15,31.73,33.24,29.81,30.33,"4,23,31,22,728"
Jun-15,32.8,32.85,31.12,31.36,"3,51,44,27,492"
May-15,33.15,33.23,32.28,32.57,"79,25,94,272"
