Date,Open,High,Low,Close
10/20/2022,"3,689.05","3,736.00","3,656.44","3,665.78"
10/19/2022,"3,703.11","3,728.58","3,666.51","3,695.16"
10/18/2022,"3,746.26","3,762.79","3,686.53","3,719.98"
10/17/2022,"3,677.95","3,689.73","3,677.95","3,677.95"
10/14/2022,"3,690.41","3,712.00","3,579.68","3,583.07"
10/13/2022,"3,520.37","3,685.41","3,491.58","3,669.91"
10-12-2022,"3,590.83","3,608.34","3,573.86","3,577.03"
10-11-2022,"3,595.86","3,640.66","3,568.45","3,588.84"
10-10-2022,"3,647.51","3,652.17","3,588.10","3,612.39"
10-07-2022,"3,706.74","3,706.74","3,620.73","3,639.66"
10-06-2022,"3,771.97","3,797.93","3,739.22","3,744.52"
10-05-2022,"3,753.25","3,806.91","3,722.66","3,783.28"
10-04-2022,"3,726.46","3,791.92","3,726.46","3,790.93"
10-03-2022,"3,609.78","3,698.35","3,604.93","3,678.43"
09/30/2022,"3,633.48","3,671.44","3,584.13","3,585.62"
09/29/2022,"3,687.01","3,687.01","3,610.40","3,640.47"
09/28/2022,"3,651.94","3,736.74","3,640.61","3,719.04"
09/27/2022,"3,686.44","3,717.53","3,623.29","3,647.29"
09/26/2022,"3,682.72","3,715.67","3,644.76","3,655.04"
09/23/2022,"3,727.14","3,727.14","3,647.47","3,693.23"
09/22/2022,"3,782.36","3,790.90","3,749.45","3,757.99"
09/21/2022,"3,871.40","3,907.07","3,789.49","3,789.93"
09/20/2022,"3,875.23","3,876.01","3,827.54","3,855.93"
09/19/2022,"3,849.91","3,900.45","3,838.50","3,899.89"
09/16/2022,"3,880.95","3,880.95","3,837.08","3,873.33"
09/15/2022,"3,932.41","3,959.14","3,888.28","3,901.35"
09/14/2022,"3,940.73","3,961.94","3,912.18","3,946.01"
09/13/2022,"4,037.12","4,037.12","3,921.28","3,932.69"
09-12-2022,"4,083.67","4,119.28","4,083.67","4,110.41"
09-09-2022,"4,022.94","4,076.81","4,022.94","4,067.36"
09-08-2022,"3,959.94","4,010.50","3,944.81","4,006.18"
