Date,Open,High,Low,Close
May-20,"2,869.09","2,980.29","2,766.64","2,955.45"
Apr-20,"2,498.08","2,954.86","2,447.49","2,912.43"
Mar-20,"2,974.28","3,136.72","2,191.86","2,584.59"
Feb-20,"3,235.66","3,393.52","2,855.84","2,954.22"
Jan-20,"3,244.67","3,337.77","3,214.64","3,225.52"
Dec-19,"3,143.85","3,247.93","3,070.33","3,230.78"
Nov-19,"3,050.72","3,154.26","3,050.72","3,140.98"
Oct-19,"2,983.69","3,050.10","2,855.94","3,037.56"
Sep-19,"2,909.01","3,021.99","2,891.85","2,976.74"
Aug-19,"2,980.32","3,013.59","2,822.12","2,926.46"
Jul-19,"2,971.41","3,027.98","2,952.22","2,980.38"
Jun-19,"2,751.53","2,964.15","2,728.81","2,941.76"
May-19,"2,856.06","2,865.47","2,750.52","2,752.06"
Apr-19,"2,848.63","2,949.52","2,848.63","2,945.83"
Mar-19,"2,798.22","2,860.31","2,722.27","2,834.40"
Feb-19,"2,702.32","2,813.49","2,681.83","2,784.49"
Jan-19,"2,476.96","2,708.95","2,443.96","2,704.10"
Dec-18,"2,790.50","2,800.18","2,346.58","2,506.85"
Nov-18,"2,717.58","2,815.15","2,631.09","2,760.17"
Oct-18,"2,926.29","2,939.86","2,603.54","2,711.74"
Sep-18,"2,896.96","2,940.91","2,864.12","2,913.98"
Aug-18,"2,821.17","2,916.50","2,796.34","2,901.52"
Jul-18,"2,704.95","2,848.03","2,698.95","2,816.29"
Jun-18,"2,718.70","2,791.47","2,691.99","2,718.37"
May-18,"2,738.34","2,742.24","2,676.81","2,705.27"
Apr-18,"2,633.45","2,717.49","2,553.80","2,648.05"
Mar-18,"2,715.22","2,801.90","2,585.89","2,640.87"
Feb-18,"2,816.45","2,835.96","2,532.69","2,713.83"
Jan-18,"2,683.73","2,872.87","2,682.36","2,823.81"
Dec-17,"2,645.10","2,694.97","2,605.52","2,673.61"
Nov-17,"2,583.21","2,657.74","2,557.45","2,647.58"
Oct-17,"2,521.20","2,582.98","2,520.40","2,575.26"
Sep-17,"2,474.42","2,519.44","2,446.55","2,519.36"
Aug-17,"2,477.10","2,490.87","2,417.35","2,471.65"
Jul-17,"2,431.39","2,484.04","2,407.70","2,470.30"
Jun-17,"2,415.65","2,453.82","2,405.70","2,423.41"
May-17,"2,387.21","2,418.71","2,386.92","2,411.80"
Apr-17,"2,362.34","2,398.16","2,328.95","2,384.20"
Mar-17,"2,380.13","2,400.98","2,322.25","2,362.72"
Feb-17,"2,285.59","2,371.54","2,271.65","2,363.64"
Jan-17,"2,251.57","2,300.99","2,245.13","2,278.87"
Dec-16,"2,200.17","2,277.53","2,187.44","2,238.83"
Nov-16,"2,128.68","2,214.10","2,083.79","2,198.81"
Oct-16,"2,164.33","2,169.60","2,114.74","2,126.15"
Sep-16,"2,171.33","2,187.87","2,119.12","2,168.27"
Aug-16,"2,173.15","2,193.81","2,147.58","2,170.95"
Jul-16,"2,099.34","2,177.09","2,074.02","2,173.60"
Jun-16,"2,093.94","2,120.55","1,991.68","2,098.86"
May-16,"2,052.23","2,103.48","2,047.26","2,096.96"
Apr-16,"2,056.62","2,111.05","2,033.80","2,065.30"
Mar-16,"1,937.09","2,072.21","1,937.09","2,059.74"
Feb-16,"1,936.94","1,962.96","1,810.10","1,932.23"
Jan-16,"2,038.20","2,038.20","1,812.29","1,940.24"
Dec-15,"2,082.93","2,104.27","1,993.26","2,043.94"
Nov-15,"2,080.76","2,116.48","2,019.39","2,080.41"
Oct-15,"1,919.65","2,094.32","1,893.70","2,079.36"
Sep-15,"1,970.09","2,020.86","1,871.91","1,920.03"
Aug-15,"2,104.49","2,112.66","1,867.01","1,972.18"
Jul-15,"2,067.00","2,132.82","2,044.02","2,103.84"
Jun-15,"2,108.64","2,129.87","2,056.32","2,063.11"
May-15,"2,105.13","2,126.22","2,104.89","2,107.39"
