Date,Open,High,Low,Close,Adj Close
20-10-2022,3.895,3.903,3.855,3.89,3.89
19-10-2022,3.835,3.91,3.813,3.893,3.893
18-10-2022,3.815,3.835,3.755,3.833,3.833
17-10-2022,3.6,3.688,3.595,3.688,3.688
14-10-2022,3.603,3.64,3.58,3.628,3.628
13-10-2022,3.515,3.603,3.485,3.583,3.583
12-10-2022,3.525,3.54,3.475,3.533,3.533
11-10-2022,3.293,3.34,3.283,3.34,3.34
10-10-2022,3.285,3.285,3.285,3.285,3.285
07-10-2022,3.273,3.295,3.233,3.293,3.293
06-10-2022,3.285,3.298,3.263,3.288,3.288
05-10-2022,3.29,3.315,3.29,3.293,3.293
04-10-2022,3.305,3.32,3.26,3.315,3.315
03-10-2022,3.165,3.19,3.14,3.15,3.15
30-09-2022,3.205,3.235,3.165,3.18,3.18
29-09-2022,3.225,3.243,3.185,3.218,3.218
28-09-2022,3.215,3.235,3.2,3.23,3.23
27-09-2022,3.265,3.265,3.218,3.25,3.25
26-09-2022,3.113,3.168,3.098,3.165,3.165
23-09-2022,3.148,3.148,3.08,3.108,3.108
22-09-2022,3.185,3.185,3.13,3.13,3.13
21-09-2022,3.243,3.253,3.19,3.19,3.19
20-09-2022,3.26,3.263,3.21,3.243,3.243
19-09-2022,3.07,3.093,3.018,3.035,3.035
16-09-2022,3.095,3.095,3.05,3.07,3.07
15-09-2022,3.138,3.143,3.075,3.095,3.095
14-09-2022,3.168,3.188,3,3.128,3.128
13-09-2022,3.073,3.213,3.025,3.153,3.153
12-09-2022,2.943,3,2.943,2.995,2.995
09-09-2022,2.955,2.973,2.935,2.968,2.968
08-09-2022,2.948,2.965,2.933,2.95,2.95
07-09-2022,2.968,2.968,2.908,2.933,2.933
06-09-2022,2.823,2.863,2.818,2.845,2.845
02-09-2022,2.835,2.848,2.8,2.82,2.82
01-09-2022,2.86,2.87,2.848,2.863,2.863
31-08-2022,2.863,2.87,2.84,2.86,2.86
30-08-2022,2.865,2.903,2.853,2.873,2.873
29-08-2022,2.75,2.813,2.75,2.798,2.798
26-08-2022,2.738,2.755,2.698,2.755,2.755
25-08-2022,2.705,2.73,2.7,2.73,2.73
24-08-2022,2.698,2.715,2.665,2.713,2.713
23-08-2022,2.718,2.72,2.655,2.703,2.703
22-08-2022,2.585,2.675,2.585,2.648,2.648
19-08-2022,2.573,2.58,2.558,2.58,2.58
18-08-2022,2.548,2.568,2.538,2.565,2.565
17-08-2022,2.5,2.628,2.5,2.568,2.568
16-08-2022,2.603,2.61,2.598,2.598,2.598
15-08-2022,2.488,2.513,2.445,2.513,2.513
12-08-2022,2.483,2.503,2.455,2.5,2.5
11-08-2022,2.498,2.498,2.443,2.49,2.49
10-08-2022,2.573,2.578,2.488,2.535,2.535
09-08-2022,2.575,2.578,2.535,2.57,2.57
08-08-2022,2.433,2.47,2.425,2.46,2.46
05-08-2022,2.373,2.425,2.328,2.41,2.41
04-08-2022,2.373,2.388,2.348,2.378,2.378
03-08-2022,2.443,2.47,2.398,2.428,2.428
02-08-2022,2.438,2.465,2.418,2.463,2.463
01-08-2022,2.29,2.313,2.263,2.265,2.265
29-07-2022,2.29,2.318,2.273,2.298,2.298
28-07-2022,2.348,2.348,2.258,2.308,2.308
27-07-2022,2.46,2.463,2.318,2.383,2.383
26-07-2022,2.48,2.485,2.125,2.475,2.475
25-07-2022,2.39,2.428,2.365,2.393,2.393
22-07-2022,2.355,2.375,2.303,2.355,2.355
21-07-2022,2.413,2.415,2.333,2.36,2.36
20-07-2022,2.398,2.405,2.378,2.378,2.378
19-07-2022,2.43,2.45,2.398,2.45,2.45
18-07-2022,2.253,2.303,2.248,2.26,2.26
15-07-2022,2.24,2.288,2.215,2.24,2.24
14-07-2022,2.31,2.363,2.255,2.273,2.273
13-07-2022,2.118,2.323,2.095,2.323,2.323
12-07-2022,2.108,2.128,2.085,2.113,2.113
11-07-2022,1.853,1.965,1.843,1.953,1.953
