date, Inflation Rate (%)
31-12-1960,1.458
31-12-1961,1.0707
31-12-1962,1.1988
31-12-1963,1.2397
31-12-1964,1.2789
31-12-1965,1.5852
31-12-1966,3.0151
31-12-1967,2.7728
31-12-1968,4.2718
31-12-1969,5.4624
31-12-1970,5.8383
31-12-1971,4.2928
31-12-1972,3.2723
31-12-1973,6.1778
31-12-1974,11.0548
31-12-1975,9.1431
31-12-1976,5.7448
31-12-1977,6.5017
31-12-1978,7.631
31-12-1979,11.2545
31-12-1980,13.5492
31-12-1981,10.3347
31-12-1982,6.1314
31-12-1983,3.2124
31-12-1984,4.3005
31-12-1985,3.5456
31-12-1986,1.898
31-12-1987,3.6646
31-12-1988,4.0777
31-12-1989,4.827
31-12-1990,5.398
31-12-1991,4.235
31-12-1992,3.0288
31-12-1993,2.9517
31-12-1994,2.6074
31-12-1995,2.8054
31-12-1996,2.9312
31-12-1997,2.3377
31-12-1998,1.5523
31-12-1999,2.188
31-12-2000,3.3769
31-12-2001,2.8262
31-12-2002,1.586
31-12-2003,2.2701
31-12-2004,2.6772
31-12-2005,3.3927
31-12-2006,3.2259
31-12-2007,2.8527
31-12-2008,3.8391
31-12-2009,-0.3555
31-12-2010,1.64
31-12-2011,3.1568
31-12-2012,2.0693
31-12-2013,1.4648
31-12-2014,1.6222
31-12-2015,0.1186
31-12-2016,1.2616
31-12-2017,2.1301
31-12-2018,2.4426
31-12-2019,1.8122
31-12-2020,1.2336
31-12-2021,4.6979
